Country,Value
France,12.8
Luxembourg,12.3
Austria,12.2
Ireland,12.2
Hungary,11.9
Germany,11.8
Lithuania,11.8
Czech Republic,11.8
Portugal,11.4
Denmark,11.1
Average OECD,9.0
